SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
197,3.072,6,10,DSR,7.5
198,2.048,4,10,DSR,7.5
199,2.048,4,10,DSR,7.5
200,2.048,4,10,DSR,7.5
201,3.072,6,10,DSR,7.5
202,2.048,4,10,DSR,7.5
203,2.048,4,10,DSR,7.5
204,1.536,3,10,DSR,7.5
205,2.56,5,10,DSR,7.5
206,4.096,8,10,DSR,7.5
207,4.096,8,10,DSR,7.5
208,4.096,8,10,DSR,7.5
209,4.096,8,10,DSR,7.5
210,4.096,8,10,DSR,7.5
211,4.096,8,10,DSR,7.5
212,4.096,8,10,DSR,7.5
213,5.12,10,10,DSR,7.5
214,6.144,12,10,DSR,7.5
215,5.632,11,10,DSR,7.5
216,4.096,8,10,DSR,7.5
217,4.096,8,10,DSR,7.5
218,4.096,8,10,DSR,7.5
219,4.096,8,10,DSR,7.5
220,6.144,12,10,DSR,7.5
221,6.144,12,10,DSR,7.5
222,6.144,12,10,DSR,7.5
223,6.144,12,10,DSR,7.5
224,4.608,9,10,DSR,7.5
225,4.096,8,10,DSR,7.5
226,8.704,17,10,DSR,7.5
227,7.168,14,10,DSR,7.5
228,5.632,11,10,DSR,7.5
229,6.144,12,10,DSR,7.5
230,5.12,10,10,DSR,7.5
231,4.096,8,10,DSR,7.5
232,7.168,14,10,DSR,7.5
233,8.192,16,10,DSR,7.5
234,7.168,14,10,DSR,7.5
235,4.096,8,10,DSR,7.5
236,3.072,6,10,DSR,7.5
237,2.048,4,10,DSR,7.5
238,2.048,4,10,DSR,7.5
239,2.048,4,10,DSR,7.5
240,2.56,5,10,DSR,7.5
241,2.048,4,10,DSR,7.5
242,1.536,3,10,DSR,7.5
243,0,0,10,DSR,7.5
244,0.512,1,10,DSR,7.5
245,3.072,6,10,DSR,7.5
246,5.12,10,10,DSR,7.5
247,6.656,13,10,DSR,7.5
248,5.12,10,10,DSR,7.5
249,6.144,12,10,DSR,7.5
250,6.656,13,10,DSR,7.5
251,6.656,13,10,DSR,7.5
252,5.12,10,10,DSR,7.5
253,4.096,8,10,DSR,7.5
254,8.192,16,10,DSR,7.5
255,8.704,17,10,DSR,7.5
256,11.264,22,10,DSR,7.5
257,8.192,16,10,DSR,7.5
258,7.68,15,10,DSR,7.5
259,7.68,15,10,DSR,7.5
260,6.144,12,10,DSR,7.5
261,3.584,7,10,DSR,7.5
262,4.608,9,10,DSR,7.5
263,4.608,9,10,DSR,7.5
264,4.096,8,10,DSR,7.5
265,4.096,8,10,DSR,7.5
266,4.096,8,10,DSR,7.5
267,4.096,8,10,DSR,7.5
268,4.096,8,10,DSR,7.5
269,4.096,8,10,DSR,7.5
270,4.096,8,10,DSR,7.5
271,4.096,8,10,DSR,7.5
272,4.096,8,10,DSR,7.5
273,4.096,8,10,DSR,7.5
274,1.536,3,10,DSR,7.5
275,2.56,5,10,DSR,7.5
276,5.632,11,10,DSR,7.5
277,7.168,14,10,DSR,7.5
278,8.192,16,10,DSR,7.5
279,7.68,15,10,DSR,7.5
280,8.704,17,10,DSR,7.5
281,8.192,16,10,DSR,7.5
282,8.192,16,10,DSR,7.5
283,8.192,16,10,DSR,7.5
284,8.192,16,10,DSR,7.5
285,7.68,15,10,DSR,7.5
286,8.192,16,10,DSR,7.5
287,10.24,20,10,DSR,7.5
288,8.192,16,10,DSR,7.5
289,6.656,13,10,DSR,7.5
290,5.12,10,10,DSR,7.5
291,7.168,14,10,DSR,7.5
292,9.728,19,10,DSR,7.5
293,8.192,16,10,DSR,7.5
294,8.192,16,10,DSR,7.5
295,8.192,16,10,DSR,7.5
296,8.192,16,10,DSR,7.5
297,6.656,13,10,DSR,7.5
298,5.12,10,10,DSR,7.5
299,6.144,12,10,DSR,7.5
